,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.45,0.3,0.85,0.67,0.41,0.94,0.41,0.7,0.67,0.64,0.51,0.79
miranda-icq.csv,0.64,0.48,0.56,1.0,0.33,0.29,0.46,0.04,0.62,0.56,0.56,0.42
pclasses.csv,0.82,0.52,0.0,0.0,0.13,0.0,0.08,0.04,0.0,0.26,0.47,0.74
pfaedit.csv,0.0,0.52,0.0,0.67,0.76,0.06,0.81,0.22,0.02,0.43,0.49,0.32
rockbox.csv,0.27,0.89,0.0,1.0,0.76,0.29,0.65,0.22,0.02,0.34,0.62,0.79
theresa.csv,0.18,0.67,0.29,1.0,0.7,0.0,0.43,0.7,0.37,0.51,0.44,0.37
thrust.csv,0.0,0.15,0.46,0.0,0.54,0.53,0.27,0.52,0.29,0.17,0.27,0.37
tktoolkit.csv,0.55,1.0,0.46,0.67,0.89,0.76,0.78,0.52,0.98,0.88,0.62,0.95
trinitycore.csv,0.82,0.33,0.07,1.0,0.81,0.47,0.84,0.26,0.21,0.51,0.67,0.16
tzod.csv,0.09,0.59,0.78,0.67,0.67,0.24,0.51,0.74,0.63,0.57,0.45,0.32
yaprm.csv,0.45,0.41,0.0,0.67,0.02,0.29,0.7,0.3,0.06,0.59,0.4,0.32
