,arianne.csv,qgis.csv,phonon-vlc-mplayer.csv,arcallians.csv,mbse.csv,alsa.csv,multitude.csv,cortex-vfx.csv
alsa.csv,0.24,0.15,0.23,0.21,0.42,0.98,0.13,0.3
arcallians.csv,0.5,0.48,0.55,0.98,0.4,0.31,0.38,0.57
arianne.csv,0.99,0.57,0.59,0.67,0.51,0.47,0.53,0.54
cortex-vfx.csv,0.17,0.37,0.49,0.52,0.38,0.19,0.43,0.89
mbse.csv,0.42,0.46,0.29,0.49,0.93,0.55,0.33,0.35
multitude.csv,0.59,0.58,0.65,0.51,0.5,0.5,0.98,0.63
phonon-vlc-mplayer.csv,0.5,0.59,0.99,0.55,0.05,0.34,0.33,0.5
qgis.csv,0.31,0.96,0.65,0.59,0.27,0.35,0.47,0.64
