,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.61,0.17,0.27,0.6,0.59,0.09,0.94,0.77,0.47,0.68
empserver.csv,0.72,0.13,0.19,0.63,0.95,0.09,0.28,0.76,0.49,0.86
enlightenment.csv,0.71,0.15,0.16,0.99,0.56,0.0,0.21,0.74,0.45,0.88
ffigo.csv,0.72,0.26,0.16,0.7,0.56,0.0,0.22,1.0,0.45,0.69
ildjit.csv,0.73,0.93,0.09,0.58,0.0,0.25,0.17,0.43,0.4,0.25
jfreereport.csv,0.52,0.33,0.99,0.55,0.45,0.11,0.57,0.53,0.52,0.64
mplayer-ce.csv,0.64,0.21,0.16,0.57,0.52,0.1,0.28,0.59,1.0,0.72
psycle.csv,0.99,0.29,0.15,0.59,0.52,0.05,0.22,0.67,0.45,0.71
wikipediardware.csv,0.77,0.24,0.13,0.59,0.49,0.09,0.18,0.62,0.45,1.0
wxjs.csv,1.0,0.0,0.0,0.67,0.0,1.0,0.0,0.0,0.0,0.0
