,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.49,0.22,0.3,0.56,0.45,0.11,0.91,0.6,0.4,0.5
empserver.csv,0.49,0.17,0.3,0.59,0.97,0.16,0.4,0.77,0.55,0.73
enlightenment.csv,0.57,0.21,0.26,0.98,0.61,0.0,0.34,0.45,0.57,0.68
ffigo.csv,0.66,0.41,0.26,0.56,0.66,0.0,0.36,1.0,0.61,0.66
ildjit.csv,0.16,0.95,0.1,0.11,0.0,0.25,0.16,0.07,0.08,0.05
jfreereport.csv,0.43,0.44,0.93,0.46,0.4,0.2,0.26,0.48,0.15,0.55
mplayer-ce.csv,0.68,0.32,0.24,0.65,0.64,0.18,0.36,0.62,0.97,0.74
psycle.csv,0.97,0.41,0.25,0.66,0.62,0.09,0.33,0.63,0.59,0.61
wikipediardware.csv,0.75,0.35,0.22,0.68,0.63,0.16,0.3,0.69,0.59,0.99
wxjs.csv,0.01,0.0,0.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0
