,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.42,0.31,0.34,0.52,0.36,0.12,0.88,0.49,0.35,0.39
empserver.csv,0.37,0.24,0.7,0.56,1.0,0.75,0.7,0.78,0.62,0.63
enlightenment.csv,0.47,0.34,0.71,0.97,0.67,0.0,0.84,0.33,0.77,0.55
ffigo.csv,0.61,0.9,0.6,0.47,0.81,0.0,0.96,1.0,0.98,0.63
ildjit.csv,0.09,0.97,0.11,0.06,0.0,0.25,0.14,0.04,0.04,0.03
jfreereport.csv,0.37,0.69,0.89,0.4,0.36,0.88,0.17,0.43,0.09,0.47
mplayer-ce.csv,0.73,0.69,0.54,0.75,0.83,1.0,0.49,0.64,0.95,0.76
psycle.csv,0.95,0.72,0.81,0.74,0.78,0.38,0.65,0.59,0.85,0.53
wikipediardware.csv,0.74,0.62,0.92,0.79,0.89,1.0,0.79,0.78,0.84,0.97
wxjs.csv,0.01,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0
