,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.43,0.34,0.39,0.52,0.4,0.15,0.9,0.53,0.39,0.41
empserver.csv,0.41,0.27,0.66,0.55,0.99,0.58,0.64,0.73,0.58,0.64
enlightenment.csv,0.49,0.35,0.63,0.97,0.6,0.0,0.42,0.37,0.49,0.59
ffigo.csv,0.59,0.59,0.59,0.51,0.6,0.0,0.24,1.0,0.05,0.45
ildjit.csv,0.11,0.97,0.13,0.07,0.0,0.29,0.17,0.05,0.05,0.04
jfreereport.csv,0.36,0.66,0.91,0.42,0.38,0.7,0.2,0.41,0.11,0.42
mplayer-ce.csv,0.48,0.47,0.54,0.51,0.44,0.57,0.52,0.47,0.96,0.5
psycle.csv,0.96,0.65,0.59,0.56,0.51,0.38,0.57,0.57,0.44,0.51
wikipediardware.csv,0.7,0.57,0.21,0.53,0.0,0.3,0.09,0.47,0.45,0.98
wxjs.csv,0.01,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0
