,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.78,0.83,0.68,0.68,0.69,0.88,0.12,0.57,0.73,0.79
empserver.csv,0.69,0.9,0.54,0.64,0.06,0.73,0.59,0.49,0.65,0.47
enlightenment.csv,0.65,0.87,0.64,0.03,0.67,1.04,0.88,0.7,0.83,0.5
ffigo.csv,0.6,0.76,0.61,0.6,0.72,1.02,0.94,0.0,0.99,0.87
ildjit.csv,0.91,0.04,0.91,0.94,1.0,0.75,0.88,0.96,0.96,1.0
jfreereport.csv,0.91,0.52,0.11,0.75,0.8,0.62,0.83,0.87,0.91,0.89
mplayer-ce.csv,0.85,0.85,0.64,0.82,0.86,0.79,0.62,0.85,0.05,0.82
psycle.csv,0.05,0.6,0.74,0.75,0.82,0.87,0.72,0.65,0.86,0.74
wikipediardware.csv,0.51,0.69,0.96,0.8,1.01,0.92,1.0,0.85,0.86,0.03
wxjs.csv,0.99,1.0,1.0,0.99,1.0,0.0,1.0,1.0,1.0,1.0
