,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.84,0.74,0.87,0.69,0.82,0.91,0.88,0.67,0.79,0.86
empserver.csv,0.63,0.63,0.49,0.54,0.5,0.38,0.47,0.45,0.49,0.43
enlightenment.csv,0.61,0.52,0.49,0.55,0.44,0.73,0.44,0.71,0.37,0.62
ffigo.csv,0.54,0.43,0.48,0.63,0.37,0.95,0.44,0.46,0.38,0.51
ildjit.csv,0.95,0.9,1.0,0.97,0.5,0.88,0.98,0.86,0.97,0.75
jfreereport.csv,0.79,0.72,0.99,0.8,0.66,0.58,0.96,0.65,0.98,0.68
mplayer-ce.csv,0.53,0.46,0.65,0.49,0.41,0.43,0.63,0.49,0.6,0.5
psycle.csv,0.5,0.41,0.43,0.48,0.43,0.39,0.5,0.42,0.39,0.46
wikipediardware.csv,0.47,0.42,0.44,0.47,0.42,0.42,0.44,0.4,0.37,0.46
wxjs.csv,0.0,0.0,0.0,0.83,0.0,0.88,0.0,0.0,0.0,0.0
