,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.3,0.99,0.74,0.74
azureus.csv,0.81,0.95,0.33,1.01
mycila.csv,1.0,0.33,0.59,0.8
octet.csv,0.71,0.66,0.66,0.35
