,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.18,0.86,0.61,0.47
azureus.csv,0.79,0.81,0.19,1.0
mycila.csv,1.0,0.14,0.47,0.75
octet.csv,0.61,0.43,0.42,0.2
