,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.77,0.2,0.35,0.18
azureus.csv,0.59,0.2,0.64,0.19
mycila.csv,0.61,0.61,0.43,0.2
octet.csv,0.54,0.3,0.36,0.45
