,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.76,0.5,0.59,0.43
azureus.csv,0.79,0.5,0.73,0.86
mycila.csv,0.93,0.7,0.64,0.71
octet.csv,0.62,0.5,0.48,0.71
