,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.79,0.12,0.25,0.11
azureus.csv,0.47,0.13,0.57,0.11
mycila.csv,0.45,0.54,0.32,0.12
octet.csv,0.47,0.22,0.29,0.33
