,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.5,0.44,0.48,0.52
azureus.csv,0.35,0.46,0.51,0.46
mycila.csv,0.33,0.85,0.58,0.51
octet.csv,0.47,0.52,0.57,0.8
