,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.9,0.55,0.48,0.64,0.72,0.71,0.8,0.8,0.61,0.76,0.69,0.44,0.78
cuberok.csv,1.09,0.59,0.92,0.9,0.41,0.77,0.81,0.71,0.77,0.88,0.64,0.77,0.84
exist.csv,0.96,0.5,0.79,0.7,0.71,0.81,0.92,0.92,0.34,0.78,0.7,0.69,0.62
google-web-toolkit.csv,0.95,0.74,0.68,0.8,0.69,0.8,0.93,0.62,0.52,0.83,0.49,0.92,0.6
gwanted.csv,0.74,0.55,0.57,0.66,0.62,0.61,0.73,0.41,0.63,0.72,0.71,0.64,0.64
ivatamasks.csv,0.91,0.42,0.82,0.66,0.94,0.95,0.93,0.66,0.88,0.96,0.86,0.97,0.66
ivataopenportal.csv,0.84,0.67,0.82,0.98,1.0,0.37,0.91,0.89,0.79,0.92,0.81,1.0,1.0
jaxen.csv,0.82,0.66,0.1,0.83,0.96,0.91,0.84,0.82,0.67,0.53,0.73,0.93,0.63
rockbox.csv,0.36,0.79,0.46,0.78,0.66,0.93,0.89,0.72,0.71,0.65,0.67,0.57,0.39
rodin-b-sharp.csv,0.47,0.82,1.0,0.93,0.82,0.93,0.23,0.81,0.61,0.65,0.82,0.75,0.67
tcl.csv,1.05,0.98,0.82,0.45,0.98,1.0,0.72,0.84,0.81,0.91,0.8,0.87,0.79
umber.csv,0.17,0.69,0.69,0.98,0.81,0.65,0.82,0.92,0.76,0.92,0.82,0.88,0.78
wheat.csv,0.65,0.86,0.82,1.0,0.61,0.8,0.73,0.93,0.89,0.41,0.78,0.63,0.45
