,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.57,0.42,0.38,0.3,0.48,0.45,0.57,0.84,0.45,0.59,0.48,0.67,0.54
cuberok.csv,0.58,0.53,0.42,0.93,0.58,0.72,0.65,0.58,0.41,0.5,0.52,0.49,0.5
exist.csv,0.33,0.44,0.41,0.31,0.38,0.44,0.37,0.41,0.41,0.33,0.48,0.44,0.36
google-web-toolkit.csv,0.34,0.73,0.75,0.9,0.48,0.56,0.6,0.74,0.51,0.86,0.51,0.86,0.5
gwanted.csv,0.4,0.6,0.42,0.43,0.38,0.53,0.67,0.76,0.73,0.7,0.41,0.61,0.55
ivatamasks.csv,0.34,0.39,0.35,0.38,0.36,0.43,0.36,0.38,0.36,0.35,0.41,0.4,0.49
ivataopenportal.csv,0.38,0.47,0.4,0.35,0.37,0.52,0.38,0.42,0.34,0.34,0.39,0.4,0.45
jaxen.csv,0.37,0.59,0.85,0.38,0.41,0.45,0.46,0.46,0.45,0.52,0.48,0.45,0.65
rockbox.csv,0.57,0.81,0.59,0.73,0.42,0.92,0.5,0.52,0.58,0.35,0.44,0.49,0.35
rodin-b-sharp.csv,0.9,0.97,0.0,0.36,0.78,0.92,0.67,0.57,0.68,0.67,0.76,0.54,0.64
tcl.csv,0.52,0.43,0.94,0.48,0.43,0.43,0.51,0.48,0.98,0.59,0.99,0.69,0.68
umber.csv,0.58,0.41,0.45,0.37,0.44,0.42,0.4,0.45,0.37,0.35,0.42,0.43,0.47
wheat.csv,0.5,0.95,0.88,0.0,0.39,0.7,0.62,0.97,0.37,0.44,0.67,0.61,0.48
