,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.44,0.11,0.44,0.6,0.51,0.26,0.32,0.14,0.39,0.33,0.42,0.23,0.25
cuberok.csv,0.62,0.43,0.9,0.22,0.26,0.17,0.39,0.31,0.73,0.67,0.49,0.74,0.75
exist.csv,0.96,0.26,0.51,0.62,0.66,0.8,0.91,0.92,0.27,0.75,0.61,0.67,0.62
google-web-toolkit.csv,0.95,0.49,0.32,0.05,0.43,0.75,0.48,0.25,0.33,0.08,0.37,0.03,0.38
gwanted.csv,0.64,0.3,0.54,0.3,0.37,0.27,0.26,0.2,0.18,0.08,0.68,0.15,0.12
ivatamasks.csv,0.91,0.3,0.82,0.6,0.94,0.95,0.92,0.62,0.87,0.96,0.85,0.97,0.62
ivataopenportal.csv,0.84,0.64,0.82,0.98,1.0,0.26,0.9,0.88,0.79,0.92,0.8,1.0,1.0
jaxen.csv,0.82,0.38,0.1,0.82,0.94,0.9,0.77,0.82,0.62,0.42,0.69,0.9,0.47
rockbox.csv,0.18,0.11,0.23,0.15,0.43,0.05,0.48,0.43,0.2,0.54,0.36,0.43,0.28
rodin-b-sharp.csv,0.0,0.3,0.0,0.92,0.46,0.04,0.13,0.61,0.22,0.42,0.3,0.68,0.47
tcl.csv,0.75,0.98,0.18,0.38,0.94,1.0,0.69,0.82,0.28,0.71,0.2,0.55,0.53
umber.csv,0.05,0.68,0.66,0.98,0.74,0.38,0.82,0.88,0.75,0.92,0.78,0.88,0.78
wheat.csv,0.49,0.15,0.18,0.0,0.34,0.23,0.52,0.24,0.88,0.29,0.48,0.38,0.44
