,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.76,0.48,0.65,0.6,0.93,0.62,0.98,0.64,0.79,0.62,1.0,0.7,0.7,0.74,0.59,0.57,0.99
avisynth2.csv,0.84,1.0,0.81,0.88,1.0,0.96,0.03,1.0,1.0,0.9,1.0,0.8,0.79,1.0,1.0,0.95,1.0
bigdata.csv,0.91,0.73,0.78,0.93,0.92,0.85,0.92,0.8,0.94,0.72,0.98,0.48,0.78,0.82,0.81,0.7,0.9
dsworkbench.csv,0.27,0.93,1.0,0.93,0.83,0.89,1.02,1.01,1.05,0.92,0.93,0.79,1.0,0.97,1.0,0.86,1.01
foursquared.csv,0.78,0.89,0.94,0.78,0.23,0.97,0.37,1.0,1.0,0.95,1.0,0.99,1.01,0.84,0.97,0.79,1.0
geotools.csv,0.67,0.61,0.68,0.48,0.73,0.49,0.54,0.81,0.57,0.49,0.81,0.76,1.06,0.6,0.94,0.73,0.91
gephex.csv,0.94,0.82,0.73,0.97,0.92,0.57,1.08,0.96,0.93,0.65,0.46,0.72,0.58,0.97,0.98,0.69,0.83
jgossipforum.csv,0.98,0.78,0.53,0.8,0.83,0.83,1.0,0.07,0.35,0.83,0.87,0.84,0.87,0.61,0.94,0.87,1.09
madman.csv,0.84,0.77,0.78,0.73,0.54,0.84,0.35,0.8,0.24,0.64,0.84,0.81,0.84,0.73,0.85,0.73,1.0
pokenetonline.csv,0.88,0.78,0.58,0.35,0.76,0.64,0.73,0.74,0.71,0.64,0.77,0.88,1.07,0.81,0.75,0.64,1.32
qmmp.csv,0.67,0.64,0.8,0.74,0.79,0.95,0.58,0.81,0.57,0.86,0.75,0.9,0.77,0.37,0.73,0.7,1.17
rcp-company-uibindings.csv,0.71,0.79,0.58,0.8,0.43,0.5,0.5,0.62,0.51,0.57,0.74,0.66,0.89,0.53,0.9,0.14,0.22
simplewebservices.csv,1.01,0.94,0.71,0.88,0.71,0.71,0.95,0.74,0.77,0.7,0.68,0.85,0.75,0.96,0.45,0.42,0.96
t-2.csv,0.85,0.94,0.7,0.64,0.9,0.39,0.75,0.8,0.81,0.72,0.9,0.81,0.91,0.83,0.98,0.94,0.23
wsmt.csv,0.84,1.0,0.89,0.99,0.78,0.93,1.0,1.0,1.0,0.95,0.97,0.83,0.33,0.97,1.0,0.87,1.06
yarp0.csv,0.62,0.87,0.43,0.7,0.8,0.78,1.03,0.96,0.53,0.79,0.61,0.74,1.02,0.73,0.8,0.56,1.07
