,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.79,0.05,0.06,0.02,0.0,1.0,0.0,0.0,0.19,0.02
fityk.csv,0.79,0.8,0.8,0.52,0.68,0.25,0.75,0.73,0.47,0.66
freenet.csv,0.57,0.75,0.71,0.64,0.94,1.0,0.86,0.77,0.85,0.77
geogebra.csv,0.79,0.27,0.71,0.5,0.79,0.25,0.52,0.5,0.41,0.66
hibernate.csv,0.43,0.75,0.58,0.64,0.47,1.0,0.72,0.82,0.55,0.62
itext.csv,0.71,1.0,0.89,0.62,0.71,1.0,0.99,0.82,0.98,0.92
k3b.csv,0.79,0.89,0.85,0.69,0.79,0.5,0.99,0.75,0.8,0.95
lamp.csv,0.57,0.27,0.63,0.88,0.74,0.5,0.64,0.7,0.5,0.86
megameknet.csv,0.5,0.82,0.74,0.6,0.85,0.0,0.68,0.73,0.53,0.8
thout.csv,1.0,0.61,0.85,0.69,1.0,1.0,0.88,0.89,0.88,0.94
