,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.11,0.5,0.55,0.5,0.0,0.24,0.0,0.0,0.33,0.18
fityk.csv,0.18,0.22,0.7,0.79,0.62,0.02,0.23,0.8,0.4,0.26
freenet.csv,0.09,0.34,0.74,0.7,0.55,0.05,0.28,0.63,0.33,0.24
geogebra.csv,0.13,0.6,0.71,0.85,0.64,0.03,0.56,0.76,0.39,0.43
hibernate.csv,0.14,0.25,0.84,0.73,0.7,0.14,0.39,0.67,0.45,0.32
itext.csv,0.18,0.23,0.66,0.78,0.8,0.04,0.23,0.72,0.29,0.26
k3b.csv,0.24,0.22,0.71,0.85,0.63,0.03,0.23,0.77,0.3,0.23
lamp.csv,0.21,0.41,0.72,0.74,0.66,0.03,0.42,0.7,0.38,0.27
megameknet.csv,0.24,0.24,0.75,0.8,0.6,0.0,0.44,0.71,0.33,0.24
thout.csv,0.1,0.45,0.64,0.66,0.53,0.04,0.22,0.65,0.28,0.22
