,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.19,0.08,0.11,0.03,0.0,0.38,0.0,0.0,0.24,0.04
fityk.csv,0.3,0.34,0.74,0.62,0.65,0.04,0.36,0.76,0.43,0.37
freenet.csv,0.16,0.46,0.72,0.67,0.7,0.09,0.42,0.69,0.47,0.37
geogebra.csv,0.23,0.37,0.71,0.63,0.71,0.06,0.54,0.6,0.4,0.52
hibernate.csv,0.21,0.38,0.69,0.68,0.56,0.25,0.51,0.73,0.49,0.43
itext.csv,0.28,0.38,0.76,0.69,0.75,0.07,0.37,0.77,0.45,0.4
k3b.csv,0.37,0.35,0.77,0.76,0.7,0.05,0.37,0.76,0.44,0.37
lamp.csv,0.3,0.33,0.67,0.8,0.69,0.06,0.51,0.7,0.43,0.41
megameknet.csv,0.33,0.37,0.74,0.69,0.71,0.0,0.54,0.72,0.41,0.37
thout.csv,0.18,0.52,0.73,0.67,0.69,0.08,0.35,0.75,0.42,0.36
