,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.19,0.58,0.96,0.65,0.47,0.58,0.25,0.7,0.08,0.12,0.4,0.56,0.56,0.68,0.1
amateur-scrolls.csv,0.13,0.26,0.24,0.98,0.29,0.25,0.22,0.39,0.0,0.12,0.12,0.54,0.31,0.33,0.11
biopax.csv,0.18,0.59,0.47,0.56,0.71,0.83,0.49,0.78,0.23,0.08,0.61,0.57,0.99,0.89,0.05
crux-framework.csv,0.05,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0
exl.csv,0.22,0.59,0.3,0.38,0.47,0.51,0.36,0.71,0.36,0.08,0.58,0.28,0.62,1.0,0.11
ikvm.csv,0.13,0.98,0.33,0.15,0.26,0.45,0.44,0.3,0.27,0.04,0.24,0.17,0.24,0.09,0.13
irrlicht.csv,0.14,0.55,0.45,0.48,0.75,0.99,0.51,0.74,0.22,0.08,0.57,0.49,0.72,0.85,0.03
les-indemodables.csv,0.2,0.49,0.25,0.4,0.57,0.48,0.25,0.66,0.09,0.09,0.42,1.0,0.41,0.6,0.03
lportal.csv,0.08,0.31,0.07,0.18,0.37,0.68,0.27,0.04,0.06,0.9,0.29,0.3,0.29,0.37,0.0
ns-3-dev-def-routing.csv,0.18,0.52,0.24,0.27,0.42,0.51,0.35,0.62,0.15,0.07,0.96,0.52,0.46,0.56,0.05
qpe.csv,0.93,0.55,0.23,0.34,0.52,0.7,0.39,0.32,0.13,0.03,0.33,0.3,0.52,0.15,0.1
sigil.csv,0.28,0.07,0.49,0.57,0.73,0.3,0.52,0.99,0.19,0.09,0.47,0.47,0.4,0.84,0.12
ultimairis.csv,0.15,0.56,0.47,0.52,0.7,0.75,0.91,0.72,0.13,0.07,0.53,0.55,0.82,0.89,0.06
unflobtactical.csv,0.18,0.26,0.29,0.49,1.0,0.58,0.31,0.68,0.1,0.09,0.49,0.48,0.25,0.47,0.05
xbg.csv,0.18,0.08,0.13,0.0,0.0,0.08,0.0,0.07,0.86,0.1,0.13,0.0,0.03,0.09,0.25
