,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.62,0.91,0.95,0.85,0.4,0.45,0.19,0.71,0.12,0.8,0.4,0.86,0.42,0.54,1.0
amateur-scrolls.csv,0.13,0.23,0.2,1.0,0.17,0.15,0.13,0.27,0.0,0.36,0.07,0.46,0.18,0.2,0.67
biopax.csv,0.92,0.91,0.95,1.0,0.83,0.89,0.85,0.96,0.88,0.99,0.93,1.0,1.0,0.98,1.0
crux-framework.csv,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0
exl.csv,0.74,0.73,0.4,0.5,0.4,0.38,0.3,0.65,0.62,0.43,0.63,0.22,0.46,1.0,1.0
ikvm.csv,0.33,0.95,0.25,0.1,0.2,0.32,0.34,0.21,0.38,0.11,0.2,0.11,0.14,0.05,0.33
irrlicht.csv,0.79,0.64,0.68,1.0,0.97,1.0,0.72,0.87,0.75,0.74,0.89,0.86,0.7,0.98,0.33
les-indemodables.csv,0.64,0.55,0.28,0.35,0.43,0.33,0.23,0.56,0.12,0.55,0.4,1.0,0.28,0.44,0.33
lportal.csv,0.26,0.23,0.05,0.2,0.31,0.62,0.19,0.02,0.12,0.84,0.29,0.32,0.2,0.27,0.0
ns-3-dev-def-routing.csv,0.54,0.36,0.2,0.2,0.31,0.38,0.28,0.54,0.25,0.27,0.93,0.59,0.31,0.41,0.33
qpe.csv,0.87,0.73,0.25,0.5,0.49,0.65,0.77,0.23,0.38,0.14,0.38,0.35,0.45,0.1,0.33
sigil.csv,0.77,0.05,0.52,0.7,0.69,0.18,0.47,0.98,0.25,0.41,0.45,0.62,0.25,0.78,1.0
ultimairis.csv,0.87,0.77,0.82,0.9,0.86,0.75,0.83,0.9,0.5,0.83,0.84,0.86,0.86,0.95,1.0
unflobtactical.csv,0.56,0.18,0.25,0.6,1.0,0.48,0.47,0.56,0.12,0.32,0.51,0.54,0.15,0.34,0.33
xbg.csv,0.15,0.05,0.08,0.0,0.0,0.04,0.0,0.04,0.75,0.16,0.07,0.0,0.01,0.05,0.33
