,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.56,0.9,0.05,0.36,0.73,0.63,0.82,0.52,0.93,0.56,0.71,0.71,0.65,0.49,0.5
amateur-scrolls.csv,0.87,0.87,0.82,0.02,0.83,0.86,0.87,0.74,1.0,0.67,0.93,0.56,0.82,0.8,0.43
biopax.csv,0.7,0.87,0.81,0.7,0.71,0.89,0.75,0.73,0.83,0.98,0.73,0.86,0.05,0.69,1.0
crux-framework.csv,0.97,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.0
exl.csv,0.5,0.6,0.77,0.69,0.71,0.69,0.72,0.44,0.46,0.69,0.51,0.81,0.54,0.0,0.46
ikvm.csv,0.75,0.05,0.76,0.91,0.9,0.74,0.67,0.84,0.66,0.91,0.85,0.9,0.87,0.98,0.67
irrlicht.csv,0.86,0.62,0.61,0.93,0.85,0.04,0.57,0.69,0.79,0.81,0.82,0.95,0.9,1.0,0.93
les-indemodables.csv,0.54,0.68,0.8,0.67,0.58,0.69,0.82,0.48,0.91,0.66,0.68,0.0,0.8,0.57,0.9
lportal.csv,0.87,0.79,0.96,0.91,0.87,0.82,0.81,0.98,0.99,0.16,0.84,0.84,0.95,0.91,1.0
ns-3-dev-def-routing.csv,0.59,0.64,0.82,0.81,0.74,0.7,0.74,0.53,0.8,0.79,0.07,0.57,0.71,0.63,0.75
qpe.csv,0.13,0.72,0.83,0.8,0.74,0.79,1.01,0.82,0.88,0.95,0.87,0.86,1.14,1.05,0.68
sigil.csv,0.39,0.97,0.53,0.44,0.41,0.83,0.55,0.02,0.78,0.69,0.63,0.68,0.75,0.32,0.4
ultimairis.csv,0.85,0.77,0.68,0.68,0.82,0.9,0.17,0.84,1.02,0.93,0.86,0.74,0.81,0.62,0.89
unflobtactical.csv,0.6,0.83,0.77,0.54,0.0,0.77,0.87,0.46,0.9,0.73,0.62,0.61,0.9,0.73,0.74
xbg.csv,0.85,0.96,0.93,1.0,1.0,0.96,1.0,0.96,0.25,0.85,0.93,1.0,0.99,0.95,0.67
