,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.41,0.9,0.01,0.33,0.42,0.31,0.15,0.43,0.31,0.52,0.39,0.69,0.3,0.15,0.5
amateur-scrolls.csv,0.07,0.4,0.17,0.02,0.04,0.12,0.01,0.14,0.07,0.19,0.08,0.14,0.0,0.0,0.28
biopax.csv,0.7,0.87,0.81,0.7,0.69,0.88,0.73,0.73,0.82,0.98,0.72,0.86,0.05,0.69,1.0
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0
exl.csv,0.43,0.53,0.49,0.48,0.38,0.29,0.15,0.27,0.27,0.38,0.36,0.2,0.1,0.0,0.46
ikvm.csv,0.34,0.0,0.11,0.11,0.42,0.29,0.1,0.3,0.2,0.19,0.26,0.09,0.15,0.23,0.1
irrlicht.csv,0.84,0.5,0.52,0.93,0.85,0.04,0.5,0.68,0.75,0.77,0.81,0.94,0.85,1.0,0.65
les-indemodables.csv,0.41,0.5,0.35,0.17,0.12,0.18,0.28,0.19,0.24,0.49,0.32,0.0,0.35,0.08,0.61
lportal.csv,0.45,0.17,0.14,0.43,0.54,0.73,0.1,0.03,0.47,0.0,0.46,0.49,0.5,0.54,0.0
ns-3-dev-def-routing.csv,0.37,0.03,0.18,0.13,0.27,0.31,0.13,0.27,0.29,0.29,0.01,0.4,0.15,0.23,0.35
qpe.csv,0.0,0.67,0.35,0.63,0.54,0.71,0.98,0.3,0.62,0.39,0.61,0.57,1.0,0.54,0.16
sigil.csv,0.32,0.17,0.24,0.33,0.27,0.18,0.15,0.0,0.2,0.35,0.31,0.57,0.0,0.23,0.4
ultimairis.csv,0.84,0.73,0.65,0.67,0.81,0.86,0.0,0.84,0.89,0.92,0.84,0.72,0.8,0.62,0.89
unflobtactical.csv,0.41,0.17,0.18,0.37,0.0,0.57,0.69,0.11,0.2,0.26,0.39,0.4,0.3,0.31,0.33
xbg.csv,0.04,0.07,0.03,0.0,0.0,0.06,0.0,0.03,0.0,0.08,0.02,0.03,0.05,0.0,0.04
