,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.46,0.47,1.03,1.01,1.1,0.96,0.88,0.92,1.02,0.57,0.87,0.77,1.01,0.75,0.89
e-bio-flow.csv,0.93,0.9,0.47,0.62,0.55,0.72,0.44,1.0,0.46,0.84,0.93,0.78,1.0,0.92,0.55
haggle.csv,0.66,0.36,0.59,0.69,0.72,0.55,0.63,0.42,0.65,0.37,0.79,0.93,1.01,0.94,0.64
hannosset.csv,0.97,1.01,0.79,0.94,0.67,0.92,0.77,1.0,0.93,0.51,0.25,0.83,1.01,1.0,0.91
jas.csv,0.61,0.5,1.01,0.57,0.97,0.68,0.67,0.63,0.91,0.53,0.93,0.56,0.15,0.58,0.83
jbpm.csv,0.93,0.91,1.0,0.27,1.0,0.86,0.81,1.0,0.92,1.0,1.0,0.98,1.01,0.92,0.9
jgossipforum.csv,0.55,0.51,0.85,0.84,1.02,0.64,0.69,0.07,0.64,0.36,1.08,0.54,1.0,0.89,0.6
joustsim.csv,0.58,0.85,0.81,0.48,0.82,0.61,0.65,0.31,0.14,0.49,0.77,0.57,0.49,0.7,0.69
log4net.csv,0.83,0.78,0.48,0.79,0.12,0.92,0.67,1.0,0.41,0.4,0.72,0.83,1.01,1.02,0.67
madman.csv,0.61,0.78,0.61,0.92,0.51,0.69,0.77,1.03,0.9,0.24,0.49,0.63,1.01,0.91,0.69
ngl.csv,0.86,0.57,0.78,0.73,0.84,0.9,0.78,0.69,0.44,0.71,0.87,0.45,0.66,0.93,0.71
nunit.csv,0.88,0.84,0.65,0.82,0.74,0.81,0.79,0.59,0.68,1.01,0.95,0.9,0.67,0.61,0.43
piccolo2d.csv,0.74,0.66,0.33,0.75,0.36,0.72,0.61,1.0,0.49,0.32,0.67,0.76,1.0,0.93,0.71
sblim.csv,0.66,0.33,0.48,0.59,1.01,0.8,0.59,1.0,0.4,0.73,0.76,0.79,1.0,0.94,0.72
wsmt.csv,0.93,0.64,1.0,0.6,1.0,0.94,0.79,0.8,1.06,1.0,1.0,0.86,0.69,0.28,0.77
