,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.59,0.46,0.0,0.0,0.0,0.11,0.19,0.02,0.0,0.32,0.08,0.36,0.0,0.63,0.14
e-bio-flow.csv,0.12,0.15,0.37,0.24,0.06,0.42,0.62,0.0,0.55,0.28,0.16,0.34,0.0,0.17,0.41
haggle.csv,0.47,0.58,0.32,0.21,0.05,0.72,0.46,0.18,0.33,0.47,0.12,0.16,0.0,0.22,0.38
hannosset.csv,0.06,0.07,0.19,0.07,0.13,0.14,0.31,0.0,0.1,0.44,0.42,0.29,0.0,0.0,0.13
jas.csv,0.58,0.46,0.0,0.27,0.02,0.49,0.45,0.07,0.13,0.32,0.06,0.64,0.48,0.67,0.22
jbpm.csv,0.13,0.14,0.0,0.59,0.0,0.24,0.29,0.0,0.09,0.0,0.0,0.03,0.0,0.15,0.18
jgossipforum.csv,0.54,0.43,0.2,0.14,0.0,0.52,0.4,0.38,0.5,0.44,0.0,0.61,0.0,0.37,0.41
joustsim.csv,0.57,0.31,0.16,0.34,0.03,0.62,0.43,0.13,0.74,0.37,0.14,0.66,0.2,0.53,0.36
log4net.csv,0.26,0.29,0.36,0.18,0.27,0.16,0.44,0.0,0.43,0.41,0.15,0.29,0.0,0.25,0.31
madman.csv,0.49,0.32,0.28,0.09,0.07,0.46,0.33,0.0,0.27,0.56,0.23,0.52,0.03,0.47,0.3
ngl.csv,0.55,0.41,0.29,0.26,0.05,0.78,0.56,0.05,0.41,0.31,0.17,0.69,0.14,0.71,0.36
nunit.csv,0.53,0.19,0.24,0.22,0.04,0.71,0.47,0.07,0.27,0.12,0.07,0.51,0.12,0.74,0.5
piccolo2d.csv,0.37,0.35,0.46,0.19,0.19,0.43,0.47,0.0,0.43,0.5,0.15,0.36,0.0,0.2,0.33
sblim.csv,0.57,0.58,0.35,0.36,0.0,0.35,0.49,0.0,0.5,0.31,0.12,0.67,0.0,0.5,0.28
wsmt.csv,0.13,0.35,0.0,0.25,0.0,0.12,0.3,0.25,0.08,0.0,0.0,0.23,0.12,0.81,0.24
