,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.8,0.52,0.35,0.63,0.55,0.87,0.59,0.7,0.54,0.5
betoffice.csv,0.76,0.15,0.26,0.62,0.5,0.8,0.59,0.58,0.47,0.41
bnetd.csv,0.9,0.54,0.37,0.66,0.41,0.55,0.67,0.74,0.52,0.42
graphmak.csv,0.09,0.69,0.43,0.61,0.25,0.58,0.46,0.62,0.0,0.49
hazelcast.csv,0.75,0.53,0.5,0.57,0.48,0.97,0.53,0.58,0.58,0.55
megasquirtavr.csv,0.9,0.45,0.53,0.58,0.37,0.9,0.57,0.69,0.39,0.34
pdfedit.csv,0.7,0.38,0.38,0.75,0.38,0.77,0.3,0.67,0.51,0.46
stajistics.csv,0.75,0.52,0.0,0.62,0.49,0.86,0.42,0.68,0.67,0.6
twostep.csv,0.79,0.53,0.42,0.6,0.53,0.88,0.55,0.63,0.78,0.52
xharbour.csv,0.86,0.53,0.42,0.67,0.4,0.71,0.52,0.58,0.61,0.49
