,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.3,0.59,0.27,0.57,0.44,0.36,0.33,0.74,0.11,0.84
geotools.csv,0.29,0.77,0.38,0.72,0.48,0.41,0.49,0.77,0.39,0.63
gephex.csv,0.26,0.75,0.24,0.88,0.44,0.46,0.49,0.76,0.63,0.63
haggle.csv,0.04,0.61,0.27,0.03,0.23,0.34,0.38,0.37,0.36,0.0
java-gnome.csv,0.17,0.36,0.32,0.88,0.24,0.48,0.38,0.54,0.39,0.49
jgnash.csv,0.22,0.61,0.48,0.76,0.42,0.46,0.5,0.67,0.5,0.79
jrdf.csv,0.1,0.24,0.19,0.88,0.44,0.56,0.36,0.21,0.56,0.3
mpqc.csv,0.4,0.26,0.0,0.16,0.25,0.0,0.12,0.51,0.41,0.55
panda3d.csv,0.31,0.47,0.29,0.71,0.48,0.43,0.45,0.57,0.34,0.48
tencompetence.csv,0.31,0.35,0.25,0.74,0.4,0.31,0.28,0.15,0.83,0.13
