,freelords.csv,gpsmid.csv,jmule.csv,botsnscouts.csv,heekscad.csv,plplot.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.81,0.84,0.49,0.76,0.83,0.43,0.43,0.4,0.34
freelords.csv,0.83,0.73,0.55,0.53,0.82,0.29,0.5,0.41,0.36
gpsmid.csv,0.87,0.84,0.46,0.64,0.6,0.27,0.43,0.4,0.26
heekscad.csv,0.89,0.76,0.68,0.61,0.83,0.29,0.38,0.52,0.33
jmule.csv,0.88,0.72,0.86,0.55,0.66,0.36,0.37,0.41,0.34
magicwars.csv,0.77,0.65,0.47,0.52,0.62,0.27,0.8,0.37,0.26
plplot.csv,0.84,0.78,0.33,0.65,0.61,0.54,0.86,0.48,0.25
turbotrader-bos.csv,0.83,0.93,0.0,0.75,0.71,0.55,0.76,0.59,0.35
xmemcached.csv,0.82,0.72,0.46,0.53,0.46,0.25,0.32,0.35,0.62
