,freelords.csv,gpsmid.csv,jmule.csv,botsnscouts.csv,heekscad.csv,plplot.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.47,0.57,0.66,0.73,0.77,0.49,0.48,0.55,0.48
freelords.csv,0.76,0.75,0.7,0.67,0.79,0.44,0.51,0.56,0.49
gpsmid.csv,0.58,0.8,0.63,0.62,0.72,0.41,0.52,0.55,0.4
heekscad.csv,0.33,0.72,0.65,0.66,0.82,0.31,0.5,0.63,0.46
jmule.csv,0.69,0.75,0.83,0.67,0.76,0.44,0.48,0.56,0.47
magicwars.csv,0.83,0.75,0.64,0.68,0.77,0.42,0.71,0.52,0.4
plplot.csv,0.66,0.67,0.13,0.64,0.6,0.61,0.55,0.49,0.33
turbotrader-bos.csv,0.37,0.66,0.0,0.34,0.66,0.37,0.44,0.63,0.44
xmemcached.csv,0.59,0.69,0.63,0.66,0.44,0.36,0.43,0.5,0.69
