,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.24,0.5,0.24,0.56,0.63,0.71,0.44,0.46,0.24,0.69,0.23,0.27,0.32,0.46,0.6,0.63,0.51,0.37
autofac.csv,0.49,0.46,0.1,0.78,0.31,0.51,0.74,0.5,0.18,0.65,0.33,0.53,0.57,0.57,0.63,0.52,0.58,0.68
azureus.csv,0.0,0.0,0.59,0.0,0.43,0.0,0.0,0.0,0.31,0.0,0.36,0.74,0.58,0.0,0.0,0.48,0.36,0.0
dsworkbench.csv,0.28,0.73,0.77,0.17,0.15,0.21,0.0,0.1,0.49,0.15,0.12,0.23,0.37,0.17,0.15,0.32,0.27,0.15
forester-atv.csv,0.31,0.76,0.54,0.35,0.04,0.23,0.07,0.13,0.61,0.0,0.24,0.55,0.44,0.17,0.66,0.05,0.32,0.04
freelords.csv,0.78,0.35,0.58,0.39,0.44,0.58,0.67,0.38,0.6,0.62,0.63,0.63,0.54,0.54,0.61,0.48,0.66,0.66
gabel.csv,0.05,0.67,0.42,0.33,0.45,0.18,0.62,0.47,0.4,0.87,0.23,0.5,0.49,0.33,0.07,0.28,0.3,0.16
gephex.csv,0.24,0.33,0.0,0.13,0.34,0.68,0.6,0.54,0.52,0.51,0.32,0.36,0.57,0.39,0.63,0.71,0.57,0.41
google-collections.csv,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.24,0.3,0.0,0.0,0.0,0.0,0.13
javaprofiler.csv,0.55,0.21,0.48,0.59,0.62,0.6,0.7,0.27,0.45,0.63,0.0,0.54,0.61,0.62,0.6,0.55,0.72,0.81
jpaul.csv,0.43,0.66,0.46,0.28,0.0,0.06,0.86,0.34,0.53,0.54,0.44,0.52,0.61,0.47,0.62,0.0,0.19,0.56
mycila.csv,0.0,0.35,0.38,0.52,0.51,0.5,0.51,0.33,0.23,0.84,0.63,0.62,0.51,0.58,0.26,0.54,0.58,0.35
neodatis-odb.csv,0.0,0.6,0.22,0.44,0.09,0.07,0.21,0.69,0.35,0.28,0.44,0.52,0.56,0.33,0.07,0.48,0.58,0.45
octet.csv,0.0,0.6,0.72,0.47,0.37,0.56,0.57,0.58,0.6,0.6,0.69,0.49,0.0,0.85,0.52,0.57,0.72,0.38
personalaccess.csv,0.26,0.71,0.53,0.66,0.31,0.32,0.74,0.38,0.53,0.85,0.5,0.7,0.8,0.6,0.58,0.46,0.61,0.45
rcp-company-uibindings.csv,0.76,0.6,0.58,0.51,0.37,0.62,0.7,0.49,0.43,0.63,0.52,0.62,0.51,0.44,0.55,0.55,0.89,0.27
scenemonitor.csv,0.26,0.52,0.61,0.5,0.32,0.39,0.52,0.31,0.75,0.65,0.43,0.74,0.49,0.34,0.34,0.25,0.41,0.13
servicestack.csv,0.06,0.61,0.27,0.17,0.0,0.04,0.07,0.23,0.0,0.0,0.12,0.15,0.28,0.17,0.77,0.0,0.12,0.01
