,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.75,0.5,0.68,0.96,0.89,0.95,0.78,0.56,0.5,0.0,0.61,0.62
emono.csv,0.5,0.88,0.76,0.78,0.78,0.79,0.86,0.99,0.38,1.0,0.58,0.72
freedom-erp.csv,0.5,0.12,0.31,0.0,0.0,0.0,0.04,0.73,0.0,0.0,0.0,0.01
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.0,0.0,1.0,0.0,0.0
jmoney.csv,0.9,0.44,0.41,0.52,0.33,0.56,0.12,0.27,0.5,0.0,0.74,0.61
jmonkeyengine.csv,0.25,0.62,0.32,0.91,0.61,0.56,0.44,0.0,0.62,1.0,0.87,0.84
jsidplay2.csv,0.65,0.19,0.83,0.17,0.5,0.79,0.73,0.99,0.25,0.0,0.17,0.16
matrex.csv,0.7,0.31,0.36,0.0,0.06,0.64,0.81,0.32,0.0,0.0,0.12,0.08
mediate.csv,0.2,0.44,0.1,0.43,0.61,0.74,0.58,0.63,0.5,1.0,0.03,0.15
mesa3d.csv,0.4,0.31,0.37,0.57,0.28,0.9,0.59,0.66,0.75,0.5,0.55,0.68
pustefix.csv,0.4,0.06,0.15,0.65,0.67,0.26,0.19,0.33,0.12,0.5,0.97,0.59
reaper3d.csv,0.55,0.06,0.49,0.48,0.11,0.05,0.21,0.59,0.88,0.0,0.03,0.29
