,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.57,0.52,0.54,0.09,0.09,0.0,0.31,0.56,0.48,0.0,0.48,0.52
emono.csv,0.51,0.41,0.33,0.2,0.44,0.46,0.29,0.24,0.39,0.09,0.56,0.68
freedom-erp.csv,0.55,0.15,0.36,0.0,0.0,0.0,0.05,0.72,0.0,0.0,0.0,0.01
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.0,0.0,0.99,0.0,0.0
jmoney.csv,0.89,0.47,0.46,0.54,0.37,0.52,0.15,0.31,0.53,0.0,0.65,0.47
jmonkeyengine.csv,0.27,0.37,0.3,0.61,0.64,0.55,0.33,0.0,0.51,0.41,0.7,0.26
jsidplay2.csv,0.66,0.22,0.81,0.2,0.48,0.66,0.74,0.38,0.29,0.0,0.2,0.19
matrex.csv,0.72,0.36,0.41,0.0,0.07,0.63,0.82,0.36,0.0,0.0,0.15,0.1
mediate.csv,0.23,0.41,0.12,0.46,0.52,0.71,0.44,0.51,0.48,0.6,0.04,0.18
mesa3d.csv,0.42,0.34,0.39,0.59,0.32,0.48,0.58,0.64,0.66,0.53,0.58,0.54
pustefix.csv,0.4,0.07,0.18,0.67,0.63,0.3,0.22,0.37,0.14,0.54,0.35,0.56
reaper3d.csv,0.56,0.07,0.53,0.46,0.13,0.06,0.24,0.59,0.83,0.0,0.04,0.33
