,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.76,0.83,0.22,0.42,0.84,0.42,0.65,0.49,0.28,0.9,0.6,0.95,0.16,0.64,0.41,0.08
betoffice.csv,0.81,0.79,0.2,0.34,0.81,0.28,0.61,0.55,0.16,0.92,0.49,0.92,0.1,0.53,0.34,0.12
bionote.csv,0.93,0.98,0.67,0.33,0.95,0.0,0.75,0.47,0.38,1.0,0.75,0.9,0.4,0.55,0.46,0.04
bnetd.csv,0.78,0.82,0.23,0.38,0.79,0.42,0.59,0.5,0.32,0.92,0.82,0.93,0.17,0.8,0.33,0.08
emisview.csv,0.73,0.0,0.41,0.56,0.96,0.53,0.88,0.54,0.47,1.0,0.67,0.88,0.22,0.59,0.48,0.15
findbugs.csv,0.76,0.85,0.22,0.32,0.82,0.21,0.67,0.51,0.34,1.0,0.52,1.0,0.14,0.79,0.49,0.08
hazelcast.csv,0.77,0.88,0.43,0.36,1.0,0.33,0.62,0.53,0.28,0.93,0.61,0.93,0.16,0.63,0.35,0.11
jitterbit.csv,0.77,0.88,0.25,0.42,0.84,0.31,0.76,0.21,0.57,0.88,0.53,0.94,0.13,0.61,0.48,0.02
jppf-project.csv,0.72,0.76,0.2,0.22,0.82,0.21,0.65,0.51,0.22,0.91,0.43,0.99,0.14,0.65,0.37,0.05
kolmafia.csv,0.78,0.86,0.22,0.43,1.0,0.33,0.55,0.5,0.35,0.91,0.81,0.96,0.14,0.75,0.36,0.08
megasquirtavr.csv,0.79,0.82,0.53,0.22,0.83,0.23,0.67,0.47,0.37,1.0,0.53,0.94,0.09,0.45,0.38,0.04
qedo.csv,0.86,0.58,0.04,0.25,0.86,0.15,0.47,0.57,0.2,0.92,0.62,1.0,0.0,0.35,0.15,0.27
trackit.csv,0.75,0.0,0.15,0.44,0.92,0.33,0.66,0.67,0.28,0.95,0.42,0.8,0.08,0.36,0.32,0.07
wxlua.csv,0.83,0.8,0.18,0.29,0.65,0.32,0.6,0.25,0.32,0.95,0.51,0.89,0.12,0.46,0.56,0.08
x4x.csv,0.85,0.88,0.27,0.28,0.81,0.31,0.64,0.51,0.29,0.88,0.68,0.9,0.08,0.54,0.33,0.08
xharbour.csv,0.77,0.99,0.28,0.4,0.91,0.34,0.69,0.46,0.31,0.93,0.49,0.89,0.2,0.67,0.43,0.04
