,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.51,0.58,0.41,0.61,0.8,0.9,0.37,0.93,0.34,0.6,0.55,0.49,0.67,0.4,0.78,0.37,0.41,0.5
dspace-gsoc.csv,0.49,0.83,0.57,0.7,0.91,0.88,0.63,0.86,0.91,0.62,0.37,0.59,1.15,0.96,0.95,0.74,0.7,1.05
fbmanager.csv,0.71,0.81,0.38,0.53,0.96,0.84,0.59,0.72,0.88,0.78,0.63,0.62,0.37,0.66,0.77,0.67,1.0,0.43
fido.csv,1.0,0.91,1.0,0.9,0.93,0.87,0.96,0.71,1.0,0.97,1.0,1.0,0.85,0.97,0.13,1.0,0.99,0.91
freenet.csv,0.8,0.92,0.87,0.67,0.52,0.77,0.97,0.73,0.97,0.78,0.96,0.93,0.97,0.97,0.78,0.61,0.73,1.01
geogebra.csv,0.53,0.62,0.59,0.61,0.61,0.68,0.53,0.83,0.43,0.49,0.58,0.54,0.69,0.62,0.8,0.5,0.42,0.5
google-caja.csv,0.41,0.78,0.42,0.52,0.78,0.9,0.56,0.3,0.86,0.59,0.75,0.42,0.88,0.57,0.96,0.58,0.68,1.0
itext.csv,0.42,1.0,0.62,0.39,0.75,1.0,0.67,1.0,0.98,0.55,0.96,0.38,0.92,0.99,0.96,0.95,0.82,1.0
k3b.csv,0.5,0.91,0.68,0.63,0.78,0.85,0.82,0.67,0.45,0.41,0.84,0.55,0.4,0.43,0.78,0.52,0.64,1.01
megameknet.csv,0.69,0.75,0.68,0.65,0.49,0.76,0.57,0.89,0.7,0.73,0.74,0.81,0.55,0.42,0.84,0.41,0.69,0.21
myfaces.csv,0.49,0.56,0.57,0.61,0.59,0.6,0.65,0.73,0.37,0.62,0.67,0.68,0.72,0.41,0.63,0.5,0.5,0.5
onotoa.csv,0.94,0.71,0.83,0.97,0.68,0.62,0.74,0.79,0.94,0.9,0.78,0.86,1.2,0.97,0.9,0.57,0.64,1.01
paintown.csv,0.37,0.59,0.77,1.0,0.68,0.85,1.01,1.01,0.94,0.57,0.69,0.66,0.87,0.97,0.89,0.97,0.93,1.12
powerfolder.csv,0.58,0.82,0.59,0.73,0.74,0.66,0.74,0.86,0.55,0.53,0.69,0.94,0.09,0.65,0.7,0.74,0.7,0.86
smartgwt.csv,0.49,0.59,0.56,0.62,0.63,0.82,0.68,0.8,0.52,0.59,0.99,0.91,0.21,0.35,0.78,0.78,0.75,1.06
sqlpower-library.csv,1.0,1.0,0.97,0.44,0.81,0.65,1.0,0.55,0.9,0.96,1.0,1.0,0.86,0.99,0.9,0.96,0.95,1.0
triplea.csv,0.5,0.35,0.55,0.69,0.86,0.76,0.62,0.6,0.78,0.59,0.56,0.5,0.56,0.62,1.05,0.51,0.53,0.29
