,ifa
moast.csv,257.0
chrysalis.csv,160.0
cortex-vfx.csv,1.0
l2j.csv,1.0
geogebra.csv,4.0
ffigo.csv,0.0
autowikibrowser.csv,0.0
duplicati.csv,0.0
gstreamer.csv,0.0
quantlib.csv,118.0
skia.csv,2.0
jruby.csv,0.0
chaosrts.csv,0.0
mplayer-ce.csv,2.0
biopax.csv,0.0
linux-ntfs.csv,1.0
growl-for-windows.csv,1.0
synecdoche.csv,0.0
rcp-company-uibindings.csv,0.0
tweetsharp.csv,0.0
elateportal.csv,0.0
sandiaportals.csv,0.0
biodwh.csv,0.0
trinitycore.csv,1.0
zemljanka.csv,0.0
tango-cs.csv,2.0
buddata-ebxml-registry.csv,70.0
javaprofiler.csv,0.0
fluent-nhibernate.csv,9.0
olex2.csv,0.0
nunit.csv,0.0
tencompetence.csv,0.0
exl.csv,0.0
nativeclient.csv,0.0
codesmith.csv,97.0
stajistics.csv,0.0
oorexx.csv,0.0
crux-framework.csv,4.0
ta3d.csv,1.0
web-cat.csv,1.0
ftm.csv,0.0
factor.csv,1.0
hydrate.csv,0.0
jfreechart.csv,103.0
elvishrayrenderer.csv,0.0
xamj.csv,0.0
uwom.csv,1.0
rocrail.csv,2.0
columba.csv,3.0
metacosm.csv,0.0
quickfast.csv,1.0
geochat.csv,0.0
natpad.csv,2.0
libarchive.csv,1.0
jcache.csv,0.0
zxing.csv,0.0
arm-webradio.csv,9.0
genoviz.csv,0.0
fulguro.csv,0.0
wikipediardware.csv,0.0
rockbox.csv,0.0
ng4j.csv,0.0
uface.csv,161.0
gisgraphy.csv,4.0
emono.csv,0.0
thedata.csv,4.0
miranda.csv,0.0
cme.csv,4.0
jmule.csv,52.0
