,precision
moast.csv,0.0
chrysalis.csv,0.0
cortex-vfx.csv,0.5
l2j.csv,0.62
geogebra.csv,0.48
ffigo.csv,0.93
autowikibrowser.csv,0.77
duplicati.csv,1.0
gstreamer.csv,0.74
quantlib.csv,0.0
skia.csv,0.57
jruby.csv,1.0
chaosrts.csv,0.92
mplayer-ce.csv,0.47
biopax.csv,1.0
linux-ntfs.csv,0.8
growl-for-windows.csv,0.75
synecdoche.csv,0.46
rcp-company-uibindings.csv,1.0
tweetsharp.csv,0.67
elateportal.csv,1.0
sandiaportals.csv,1.0
biodwh.csv,1.0
trinitycore.csv,0.43
zemljanka.csv,0.98
tango-cs.csv,0.44
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.9
fluent-nhibernate.csv,0.31
olex2.csv,0.89
nunit.csv,0.5
tencompetence.csv,0.88
exl.csv,1.0
nativeclient.csv,1.0
codesmith.csv,0.0
stajistics.csv,1.0
oorexx.csv,0.59
crux-framework.csv,0.14
ta3d.csv,0.75
web-cat.csv,0.26
ftm.csv,1.0
factor.csv,0.5
hydrate.csv,1.0
jfreechart.csv,0.0
elvishrayrenderer.csv,0.8
xamj.csv,1.0
uwom.csv,0.91
rocrail.csv,0.62
columba.csv,0.5
metacosm.csv,1.0
quickfast.csv,0.88
geochat.csv,1.0
natpad.csv,0.73
libarchive.csv,0.75
jcache.csv,1.0
zxing.csv,1.0
arm-webradio.csv,0.04
genoviz.csv,0.5
fulguro.csv,0.25
wikipediardware.csv,1.0
rockbox.csv,1.0
ng4j.csv,1.0
uface.csv,0.0
gisgraphy.csv,0.29
emono.csv,0.67
thedata.csv,0.2
miranda.csv,0.78
cme.csv,0.25
jmule.csv,0.0
