,pd
moast.csv,0.0
chrysalis.csv,0.0
cortex-vfx.csv,0.06
l2j.csv,0.03
geogebra.csv,0.18
ffigo.csv,0.18
autowikibrowser.csv,0.23
duplicati.csv,0.05
gstreamer.csv,0.26
quantlib.csv,0.0
skia.csv,0.35
jruby.csv,0.06
chaosrts.csv,0.09
mplayer-ce.csv,0.33
biopax.csv,0.04
linux-ntfs.csv,0.31
growl-for-windows.csv,0.08
synecdoche.csv,0.21
rcp-company-uibindings.csv,0.02
tweetsharp.csv,0.05
elateportal.csv,0.05
sandiaportals.csv,0.11
biodwh.csv,0.08
trinitycore.csv,0.22
zemljanka.csv,0.19
tango-cs.csv,0.27
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.12
fluent-nhibernate.csv,0.24
olex2.csv,0.13
nunit.csv,0.1
tencompetence.csv,0.04
exl.csv,0.02
nativeclient.csv,0.01
codesmith.csv,0.0
stajistics.csv,0.03
oorexx.csv,0.36
crux-framework.csv,0.33
ta3d.csv,0.26
web-cat.csv,0.26
ftm.csv,0.02
factor.csv,0.02
hydrate.csv,0.06
jfreechart.csv,0.0
elvishrayrenderer.csv,0.35
xamj.csv,0.12
uwom.csv,0.17
rocrail.csv,0.23
columba.csv,0.04
metacosm.csv,0.04
quickfast.csv,0.15
geochat.csv,0.03
natpad.csv,0.26
libarchive.csv,0.43
jcache.csv,0.21
zxing.csv,0.21
arm-webradio.csv,0.03
genoviz.csv,0.2
fulguro.csv,0.09
wikipediardware.csv,0.08
rockbox.csv,0.11
ng4j.csv,0.05
uface.csv,0.0
gisgraphy.csv,0.09
emono.csv,0.02
thedata.csv,0.25
miranda.csv,0.25
cme.csv,0.8
jmule.csv,0.0
