,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.01,0.67,0.71,0.73,0.79,0.87,0.68,0.17,0.05,0.76,0.74,0.38,0.92,0.12,0.41,0.27,0.37,0.42
fbmanager.csv,0.0,0.89,0.86,0.8,0.89,0.91,0.82,0.29,0.0,0.72,1.0,0.43,0.0,0.0,0.44,0.0,0.0,0.0
freenet.csv,0.0,0.4,0.6,0.49,0.79,0.91,0.78,0.07,0.03,0.5,0.77,0.26,0.48,0.17,0.25,0.18,0.32,0.27
geogebra.csv,0.0,0.61,0.79,0.59,0.85,0.93,0.71,0.16,0.05,0.65,0.95,0.3,0.68,0.12,0.43,0.22,0.39,0.43
google-caja.csv,0.01,0.73,0.61,0.71,0.83,0.93,0.67,0.16,0.03,0.64,0.89,0.34,0.93,0.16,0.37,0.23,0.35,0.3
hibernate.csv,0.02,0.79,0.7,0.88,0.77,0.95,0.81,0.19,0.04,0.67,0.84,0.27,0.9,0.44,0.35,0.19,0.44,0.36
illumination.csv,0.01,0.55,0.6,0.52,0.74,0.89,0.86,0.12,0.0,0.52,0.78,0.33,0.0,0.0,0.22,0.61,0.0,0.0
kindb.csv,0.01,0.75,0.71,0.85,0.72,1.0,0.66,0.21,0.03,0.63,0.86,0.33,0.93,0.14,0.24,0.19,0.32,0.26
officefloor.csv,0.02,0.64,0.75,0.71,0.81,1.0,0.82,0.23,0.06,0.81,0.91,0.42,1.0,1.0,0.42,0.17,0.44,0.41
paintown.csv,0.01,0.76,0.68,0.58,0.72,0.9,0.7,0.16,0.03,0.47,0.72,0.48,0.78,0.14,0.18,0.24,0.28,0.23
poormans.csv,0.03,0.42,0.71,0.67,0.86,1.0,0.8,0.0,0.07,0.72,0.92,0.36,0.0,1.0,0.47,0.31,0.54,0.46
qlc.csv,0.0,0.57,0.89,0.88,0.87,0.88,0.73,0.25,0.05,0.73,0.95,0.38,0.89,0.21,0.48,0.19,0.41,0.53
repositorium.csv,0.0,0.39,0.5,0.45,0.69,0.85,0.6,0.11,0.02,0.0,0.7,0.42,0.0,0.3,0.28,0.38,0.34,0.53
sevenupdate.csv,0.01,0.5,0.62,0.6,0.73,1.0,0.67,0.14,0.03,0.53,0.73,0.3,0.72,0.11,0.21,0.18,0.29,0.21
sqlpower-library.csv,0.02,0.47,0.6,0.51,0.89,0.89,0.68,0.14,0.03,0.5,0.84,0.32,0.86,0.1,0.25,0.21,0.33,0.32
triplea.csv,0.01,0.67,0.81,0.67,0.8,0.94,0.65,0.2,0.04,0.59,0.81,0.32,0.93,0.09,0.26,0.27,0.34,0.32
yarp0.csv,0.02,0.63,0.63,0.57,0.83,0.89,0.68,0.17,0.03,0.52,0.79,0.56,0.75,0.11,0.24,0.3,0.31,0.22
