,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.72,0.59,0.55,0.71,0.69,0.43,0.53,0.62,0.62,0.71,0.27,0.42,0.74,0.4,0.65,0.55,0.64,0.7
fbmanager.csv,0.0,0.29,0.23,0.73,0.58,0.46,0.06,0.44,0.0,0.52,0.31,0.23,0.0,0.0,0.65,0.0,0.0,0.0
freenet.csv,0.0,0.44,0.42,0.5,0.67,0.64,0.72,0.25,0.09,0.17,0.52,0.49,0.3,0.49,0.63,0.43,0.61,0.67
geogebra.csv,0.0,0.58,0.51,0.64,0.7,0.57,0.64,0.63,0.46,0.58,0.3,0.53,0.0,0.57,0.49,0.44,0.5,0.69
google-caja.csv,0.59,0.63,0.5,0.66,0.65,0.57,0.56,0.63,0.57,0.78,0.8,0.63,0.83,0.73,0.83,0.6,0.66,0.7
hibernate.csv,0.76,0.51,0.64,0.46,0.63,0.42,0.54,0.73,0.64,0.55,0.67,0.45,0.6,0.41,0.66,0.43,0.58,0.65
illumination.csv,0.52,0.62,0.53,0.0,0.49,0.0,0.16,0.42,0.0,0.27,0.4,0.6,0.0,0.0,0.13,0.83,0.0,0.0
kindb.csv,0.59,0.6,0.42,0.37,0.42,0.22,0.56,0.66,0.39,0.48,0.43,0.62,0.83,0.66,0.61,0.28,0.61,0.43
officefloor.csv,0.83,0.42,0.11,0.18,0.41,0.26,0.4,0.32,0.67,0.53,0.31,0.35,0.31,0.22,0.67,0.07,0.47,0.46
paintown.csv,0.27,0.71,0.63,0.59,0.0,0.61,0.63,0.61,0.33,0.17,0.0,0.64,0.75,0.6,0.47,0.49,0.43,0.3
poormans.csv,0.92,0.14,0.55,0.07,0.57,0.28,0.52,0.0,0.59,0.81,0.36,0.29,0.0,0.11,0.76,0.28,0.28,0.56
qlc.csv,0.0,0.58,0.55,0.49,0.48,0.35,0.65,0.63,0.56,0.46,0.51,0.57,0.73,0.41,0.76,0.28,0.56,0.49
repositorium.csv,0.0,0.4,0.25,0.42,0.28,0.43,0.45,0.26,0.1,0.0,0.28,0.67,0.0,0.81,0.18,0.33,0.11,0.11
sevenupdate.csv,0.05,0.38,0.44,0.67,0.0,0.77,0.48,0.4,0.0,0.56,0.27,0.0,0.53,0.0,0.0,0.48,0.24,0.32
sqlpower-library.csv,0.82,0.05,0.49,0.0,0.71,0.0,0.56,0.27,0.6,0.0,0.75,0.48,0.21,0.0,0.59,0.13,0.62,0.66
triplea.csv,0.54,0.61,0.68,0.61,0.69,0.38,0.39,0.65,0.71,0.61,0.7,0.42,0.76,0.45,0.65,0.62,0.58,0.7
yarp0.csv,0.76,0.61,0.59,0.61,0.63,0.47,0.54,0.67,0.64,0.57,0.65,0.6,0.61,0.27,0.62,0.76,0.56,0.51
