,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.12,0.27,0.09,0.0,0.76,0.0,0.21,0.21,0.14,0.73
ibatisdb.csv,0.12,0.49,0.27,0.68,0.2,0.13,0.46,0.35,0.32,0.2
jmol.csv,0.55,0.98,0.96,0.59,1.0,0.43,0.57,1.0,0.79,0.95
liferea.csv,0.57,0.39,0.55,0.3,0.4,0.74,0.18,0.36,0.31,0.15
log4net.csv,0.02,0.0,0.32,0.57,0.12,0.04,0.18,0.39,0.17,0.18
pclasses.csv,0.18,0.08,0.04,0.07,0.39,0.22,0.39,0.01,0.39,0.48
psrchive.csv,0.21,0.12,0.2,0.64,0.21,0.13,0.21,0.64,0.29,0.34
re2c.csv,0.25,0.02,0.57,0.39,0.43,0.26,0.96,0.35,0.52,0.72
tycho.csv,0.18,0.1,0.19,0.36,0.2,0.17,0.32,0.22,0.13,0.6
xfce.csv,0.32,0.69,0.68,0.48,0.53,0.74,0.39,0.42,0.76,0.5
