,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.52,0.25,0.92,0.86,0.66,0.61,0.19,0.83,0.62,0.6,0.5,0.73,0.82,0.5,0.65
autowikibrowser.csv,0.69,0.4,0.6,0.68,0.5,0.66,0.19,0.34,0.64,0.62,0.5,0.8,1.0,0.83,0.58
biodwh.csv,0.48,0.17,0.28,0.16,0.42,0.31,0.09,0.33,0.24,0.2,0.3,0.07,0.34,1.0,0.33
cities3d.csv,0.76,0.5,0.68,0.86,0.16,0.12,0.09,0.11,0.13,0.25,0.2,0.13,0.2,0.08,0.33
dynalloy.csv,0.52,1.0,0.59,0.73,0.85,0.51,0.22,0.68,0.64,0.76,0.9,0.47,0.73,0.67,0.51
enzo.csv,0.9,0.77,0.89,0.78,0.6,0.73,0.31,0.8,0.95,0.99,0.4,1.0,0.64,1.0,0.74
genecys.csv,0.97,1.0,0.98,0.97,1.0,0.97,1.0,0.72,0.82,0.86,1.0,0.73,0.89,0.92,0.95
kmatplot.csv,0.97,0.21,0.24,0.41,0.19,0.33,0.09,0.31,0.15,0.33,0.5,0.33,0.11,0.33,0.42
modplug.csv,0.79,0.79,0.8,0.95,0.84,0.78,0.5,0.78,1.0,0.57,0.8,0.87,0.95,0.83,0.77
nabu-library.csv,0.79,0.87,0.83,0.59,0.66,0.67,0.25,0.99,0.73,0.83,0.3,0.73,0.8,0.75,0.37
natpad.csv,0.62,0.42,0.53,0.73,0.61,0.75,0.28,0.4,0.45,0.8,0.8,0.53,0.45,0.58,0.95
nebuladevice.csv,0.45,0.1,0.19,0.46,0.15,0.13,0.06,0.11,0.36,0.08,0.2,1.0,0.43,0.17,0.23
ossbuild.csv,0.72,0.35,0.47,0.78,0.76,0.6,0.75,0.33,0.36,0.25,0.9,0.13,0.82,0.25,0.4
xemeiah.csv,0.62,0.4,0.54,0.73,0.61,0.93,0.5,0.34,0.45,0.41,0.8,0.4,0.45,0.75,0.67
xined.csv,0.48,0.38,0.44,0.51,0.34,0.45,0.78,0.88,0.44,0.15,1.0,0.2,0.39,0.5,0.65
