,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.57,0.77,0.08,0.86,0.95,0.77,0.85,0.4,0.95,0.51,0.88,0.64,0.83,0.57,0.81
autowikibrowser.csv,0.4,0.77,0.53,0.5,0.67,0.55,0.93,0.7,0.59,0.41,0.65,0.51,0.02,0.57,0.52
biodwh.csv,0.53,0.84,0.73,0.84,0.62,0.69,0.91,0.67,0.76,0.83,0.75,0.94,0.67,0.0,0.7
cities3d.csv,0.72,0.73,0.86,0.14,0.87,0.88,0.91,1.14,0.89,1.01,0.81,0.88,0.89,0.95,0.76
dynalloy.csv,0.55,0.0,0.56,0.73,0.9,0.67,0.82,0.78,0.72,0.57,0.8,0.68,0.69,0.44,0.77
enzo.csv,0.71,0.74,0.86,0.76,0.69,0.77,1.04,0.39,0.96,0.16,0.9,0.82,0.57,0.89,0.62
genecys.csv,0.98,0.95,0.98,0.92,0.0,0.86,1.0,0.98,0.89,0.89,1.0,0.82,1.01,0.96,0.92
kmatplot.csv,0.03,0.82,0.78,0.65,1.05,0.69,0.92,0.7,0.88,0.95,0.51,0.67,0.89,0.69,0.63
modplug.csv,0.78,0.6,0.62,0.83,0.58,0.88,1.0,0.38,0.04,0.54,0.82,0.76,0.95,0.6,0.59
nabu-library.csv,0.78,0.71,0.77,0.61,0.56,0.69,0.83,0.01,0.84,0.36,0.96,0.73,0.82,0.8,0.9
natpad.csv,0.5,0.84,0.63,0.56,0.59,0.58,0.85,0.62,0.77,0.94,0.44,0.67,0.6,0.75,0.05
nebuladevice.csv,0.65,0.91,0.82,0.58,0.86,0.87,0.95,0.9,0.64,0.92,0.81,0.0,0.73,0.85,0.8
ossbuild.csv,0.65,0.67,0.63,0.7,0.81,0.59,0.25,1.01,0.68,0.78,0.52,0.87,0.73,0.76,0.72
xemeiah.csv,0.46,0.71,0.54,0.39,0.51,0.08,0.62,0.68,0.55,0.76,0.44,0.68,0.58,0.6,0.51
xined.csv,0.67,0.89,0.67,0.57,0.8,0.71,0.5,1.0,0.68,0.86,0.0,0.84,0.73,0.9,0.48
