,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.57,0.77,0.64,0.37,0.45,0.48,0.67,0.49,0.49,0.57,0.44,0.4,0.41,0.62,0.49
autowikibrowser.csv,0.49,0.41,0.43,0.46,0.31,0.37,0.47,0.46,0.37,0.36,0.39,0.4,0.44,0.33,0.42
biodwh.csv,0.74,0.95,0.86,0.97,0.43,0.76,0.96,0.97,0.79,0.88,0.57,0.88,0.81,0.92,0.56
cities3d.csv,0.46,0.61,0.52,0.97,0.92,0.92,0.96,0.94,0.91,0.98,0.88,0.92,0.87,0.84,0.81
dynalloy.csv,0.62,0.71,0.57,0.39,0.41,0.54,0.88,0.71,0.46,0.4,0.4,0.51,0.38,0.71,0.52
enzo.csv,0.41,0.4,0.41,0.36,0.31,0.41,0.38,0.47,0.39,0.4,0.42,0.33,0.48,0.32,0.37
genecys.csv,0.37,0.38,0.43,0.31,0.45,0.43,0.42,0.55,0.42,0.42,0.4,0.39,0.4,0.35,0.45
kmatplot.csv,0.86,0.97,0.95,0.95,0.94,0.97,0.97,0.98,0.92,0.86,0.78,0.92,0.91,0.81,0.52
modplug.csv,0.42,0.43,0.46,0.33,0.37,0.43,0.34,0.44,0.43,0.44,0.33,0.35,0.38,0.35,0.35
nabu-library.csv,0.41,0.44,0.41,0.46,0.38,0.42,0.82,0.59,0.42,0.35,0.52,0.36,0.4,0.41,0.68
natpad.csv,0.56,0.57,0.56,0.53,0.36,0.55,0.51,0.5,0.53,0.47,0.44,0.48,0.59,0.43,0.59
nebuladevice.csv,0.67,0.94,0.91,0.91,0.8,0.94,0.97,0.82,0.73,0.88,0.88,0.93,0.66,0.92,0.83
ossbuild.csv,0.52,0.75,0.7,0.44,0.54,0.69,0.96,0.74,0.77,0.88,0.48,0.89,0.46,0.92,0.76
xemeiah.csv,0.53,0.55,0.51,0.55,0.37,0.58,0.47,0.44,0.48,0.56,0.4,0.57,0.52,0.33,0.43
xined.csv,0.65,0.56,0.69,0.6,0.64,0.77,0.69,0.56,0.67,0.94,0.9,0.68,0.82,0.47,0.61
