,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.55,0.29,0.93,0.44,0.33,0.52,0.22,0.78,0.34,0.61,0.43,0.64,0.49,0.53,0.51
autowikibrowser.csv,0.7,0.42,0.61,0.67,0.51,0.64,0.22,0.38,0.62,0.65,0.51,0.73,1.0,0.71,0.6
biodwh.csv,0.53,0.2,0.32,0.19,0.46,0.36,0.11,0.38,0.28,0.24,0.34,0.09,0.39,1.0,0.38
cities3d.csv,0.6,0.49,0.46,0.88,0.19,0.15,0.11,0.13,0.16,0.26,0.24,0.16,0.23,0.1,0.37
dynalloy.csv,0.55,1.0,0.6,0.58,0.36,0.52,0.26,0.54,0.56,0.68,0.54,0.49,0.61,0.68,0.49
enzo.csv,0.64,0.59,0.45,0.57,0.56,0.55,0.29,0.77,0.17,0.96,0.38,0.52,0.62,0.38,0.65
genecys.csv,0.09,0.21,0.13,0.3,1.0,0.44,0.0,0.23,0.38,0.39,0.0,0.51,0.0,0.17,0.3
kmatplot.csv,0.98,0.25,0.28,0.45,0.21,0.38,0.11,0.36,0.18,0.33,0.55,0.38,0.13,0.38,0.46
modplug.csv,0.55,0.68,0.67,0.5,0.71,0.42,0.32,0.76,0.99,0.59,0.51,0.58,0.24,0.69,0.67
nabu-library.csv,0.54,0.64,0.57,0.58,0.64,0.59,0.28,0.99,0.49,0.79,0.31,0.58,0.5,0.53,0.37
natpad.csv,0.63,0.42,0.54,0.68,0.6,0.67,0.31,0.45,0.45,0.29,0.75,0.53,0.49,0.52,0.96
nebuladevice.csv,0.48,0.12,0.23,0.5,0.18,0.16,0.07,0.13,0.41,0.1,0.24,1.0,0.45,0.2,0.27
ossbuild.csv,0.63,0.4,0.5,0.61,0.51,0.59,0.79,0.31,0.4,0.29,0.77,0.16,0.61,0.29,0.43
xemeiah.csv,0.64,0.43,0.57,0.73,0.62,0.94,0.52,0.38,0.51,0.43,0.75,0.44,0.49,0.66,0.66
xined.csv,0.5,0.37,0.47,0.54,0.37,0.47,0.72,0.05,0.47,0.18,1.0,0.23,0.42,0.42,0.65
