,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.88,0.41,0.32,0.49,0.49,1.0,0.5,0.81,0.46,0.5
betoffice.csv,0.79,0.15,0.2,0.51,0.34,0.81,0.55,0.49,0.34,0.28
bnetd.csv,0.82,0.36,0.22,0.54,0.38,0.82,0.5,0.81,0.36,0.28
graphmak.csv,1.0,0.66,0.36,0.51,0.31,0.83,0.48,0.5,0.5,0.38
hazelcast.csv,0.89,0.38,0.48,0.52,0.36,1.0,0.52,0.6,0.43,0.41
megasquirtavr.csv,0.82,0.31,0.55,0.5,0.23,0.84,0.46,0.53,0.25,0.21
pdfedit.csv,0.91,0.31,0.27,0.71,0.33,0.82,0.45,0.67,0.48,0.31
stajistics.csv,0.8,0.3,0.5,0.48,0.31,0.96,0.57,0.51,0.48,0.5
twostep.csv,0.94,0.4,0.32,0.55,0.35,0.95,0.45,0.6,0.72,0.36
xharbour.csv,0.99,0.39,0.32,0.6,0.38,1.0,0.45,0.57,0.65,0.36
