,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.47,0.93,0.42,0.07,0.42,0.4,0.4,0.41,0.45,0.26
bibedt.csv,0.56,0.31,0.33,0.2,0.17,0.75,0.9,0.51,0.27,0.7
cascading.csv,0.19,0.06,0.58,0.57,0.33,0.75,0.8,0.47,0.99,0.16
firebreath.csv,0.94,0.89,0.95,0.5,0.25,0.6,0.5,0.69,0.55,0.9
fritzing.csv,0.97,0.44,0.48,0.4,0.17,0.6,0.0,0.65,0.35,0.48
httpcontentparser.csv,0.33,0.24,0.05,0.0,0.33,0.75,0.3,0.01,0.08,0.14
mpgravity.csv,0.67,0.67,0.7,0.77,0.92,0.75,0.4,0.65,0.52,0.59
patterntesting.csv,0.57,0.67,0.42,1.0,0.42,0.75,0.8,0.67,0.57,0.71
roller.csv,0.28,0.39,0.48,0.47,0.33,0.65,0.2,0.96,0.29,0.76
xfce.csv,0.81,0.61,0.63,0.63,0.83,0.7,0.6,0.53,0.55,0.95
