,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.69,0.02,0.39,0.43,0.2,0.64,0.37,0.67,0.39,0.31
bibedt.csv,0.18,0.38,0.22,0.02,0.07,0.74,0.0,0.33,0.12,0.56
cascading.csv,0.13,0.04,0.39,0.3,0.15,0.47,0.59,0.43,0.0,0.09
firebreath.csv,0.75,0.94,0.01,0.19,0.15,0.35,0.39,0.45,0.39,0.9
fritzing.csv,0.0,0.19,0.29,0.06,0.0,0.64,0.0,0.41,0.15,0.34
httpcontentparser.csv,0.31,0.35,0.02,0.0,0.76,0.01,0.27,0.0,0.09,0.32
mpgravity.csv,0.53,0.73,0.49,0.32,0.0,0.47,0.49,0.43,0.36,0.49
patterntesting.csv,0.42,0.65,0.3,0.02,0.22,0.48,0.39,0.47,0.45,0.45
roller.csv,0.26,0.42,0.31,0.09,0.32,0.68,0.2,0.02,0.21,0.44
xfce.csv,0.62,0.6,0.51,0.89,0.95,0.56,0.49,0.49,0.45,0.01
