,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.64,0.53,0.74,0.91,0.92,0.59,0.68,0.57,0.65,0.93
bibedt.csv,0.52,0.74,0.71,0.86,0.8,0.53,0.89,0.56,0.67,0.5
cascading.csv,0.96,0.8,0.54,0.45,0.9,0.54,0.41,0.47,0.43,0.88
firebreath.csv,0.45,0.37,0.6,0.62,0.89,0.63,0.62,0.49,0.58,0.49
fritzing.csv,0.56,0.61,0.6,0.73,0.5,0.59,0.0,0.47,0.65,0.5
httpcontentparser.csv,0.73,0.73,0.8,0.0,0.51,0.94,0.64,0.0,0.92,0.98
mpgravity.csv,0.49,0.37,0.54,0.5,0.82,0.5,0.58,0.45,0.52,0.52
patterntesting.csv,0.44,0.34,0.56,0.55,0.64,0.48,0.42,0.43,0.54,0.36
roller.csv,0.88,0.51,0.61,0.61,0.71,0.52,0.9,0.44,0.63,0.41
xfce.csv,0.47,0.42,0.52,0.54,0.39,0.48,0.42,0.54,0.49,0.46
