,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.43,0.95,0.41,0.08,0.4,0.12,0.28,0.44,0.58,0.38
bibedt.csv,0.63,0.38,0.4,0.32,0.24,0.19,0.95,0.58,0.42,0.72
cascading.csv,0.29,0.1,0.53,0.56,0.36,0.26,0.38,0.53,1.0,0.26
firebreath.csv,0.69,0.65,0.97,0.56,0.29,0.27,0.32,0.69,0.66,0.78
fritzing.csv,0.99,0.55,0.5,0.53,0.29,0.17,0.0,0.68,0.5,0.59
httpcontentparser.csv,0.4,0.31,0.09,0.0,0.17,0.83,0.25,0.03,0.14,0.22
mpgravity.csv,0.6,0.58,0.56,0.68,0.96,0.26,0.24,0.67,0.64,0.65
patterntesting.csv,0.57,0.6,0.44,0.98,0.38,0.26,0.47,0.67,0.67,0.74
roller.csv,0.36,0.44,0.49,0.58,0.28,0.18,0.2,0.97,0.43,0.78
xfce.csv,0.65,0.57,0.52,0.42,0.33,0.22,0.33,0.57,0.65,0.97
