,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,0.99,0.64,0.51,0.49,0.33
aime.csv,0.1,0.62,0.29,0.2,0.69
badtrinitycore.csv,0.18,0.41,0.18,0.91,0.24
electric-core.csv,0.57,0.12,0.93,0.51,0.48
olsrd.csv,0.41,0.97,0.52,0.61,0.69
