,selenium.csv,cities3d.csv,levent.csv,xemeiah.csv,bwapi.csv,img-browse-sort.csv,somap.csv,pnotepad.csv
bwapi.csv,0.9,0.99,1.0,0.82,0.32,1.0,1.0,0.81
cities3d.csv,0.68,0.43,1.0,0.85,0.96,0.95,0.88,0.72
img-browse-sort.csv,0.55,0.69,0.7,0.6,0.88,0.42,0.87,0.65
levent.csv,0.48,0.56,0.45,0.78,0.84,0.37,0.89,0.73
pnotepad.csv,0.87,0.66,0.6,0.55,0.68,0.91,0.86,0.1
selenium.csv,0.45,0.53,0.55,0.48,0.9,0.56,0.69,0.52
somap.csv,0.71,0.99,1.0,0.93,0.89,0.77,0.17,0.8
xemeiah.csv,0.91,0.39,0.65,0.37,1.06,0.77,1.06,0.5
