,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.66,0.0,0.96,0.0,0.55,0.2,0.4,0.26,0.16,0.57,1.0,0.12,0.85
avifile.csv,0.32,1.0,0.0,0.0,0.4,0.38,0.0,0.22,0.25,0.0,0.0,0.0,0.0
baadengine.csv,1.0,0.05,0.97,0.02,0.68,0.28,0.43,0.29,0.18,0.52,0.34,0.12,0.88
gdis.csv,0.84,0.06,0.98,0.01,0.67,0.3,0.45,0.27,0.18,0.45,0.31,0.12,1.0
gogoego.csv,0.7,0.05,0.94,0.05,0.64,0.3,0.31,0.99,0.21,0.47,0.41,0.14,0.81
impala.csv,0.68,0.0,1.0,0.01,0.55,0.28,0.14,0.25,0.19,0.32,0.27,1.0,0.75
jgameai.csv,0.61,0.2,0.96,0.0,0.67,1.0,0.17,0.3,0.1,0.33,0.29,0.16,0.0
jhotdraw.csv,0.86,0.0,1.0,0.0,0.5,0.33,0.0,0.26,1.0,0.0,0.4,0.06,0.71
patterntesting.csv,0.73,0.03,0.96,0.0,0.67,0.31,0.48,0.3,0.28,0.94,0.38,0.07,0.84
pokeglobal.csv,0.73,0.03,0.97,0.05,1.0,0.23,0.38,0.29,0.24,0.46,0.3,0.12,0.87
werx.csv,0.75,0.07,1.0,0.01,0.59,0.29,0.31,0.24,0.18,0.39,0.29,0.12,0.81
zealos.csv,0.7,0.05,0.98,0.03,0.58,0.28,1.0,0.29,0.16,0.49,0.25,0.12,0.95
