,gpsmid.csv,emftriple.csv,bzbyte.csv,fluent-nhibernate.csv,xamj.csv,columba.csv
bzbyte.csv,0.42,0.4,0.74,0.49,0.0,0.0
columba.csv,0.69,0.11,0.61,0.72,0.66,0.65
emftriple.csv,0.19,0.97,0.11,0.0,0.25,0.25
fluent-nhibernate.csv,0.77,0.0,0.52,0.87,0.4,0.43
gpsmid.csv,0.82,0.45,0.57,0.83,0.69,0.69
xamj.csv,0.8,0.52,0.65,0.28,0.69,0.49
