,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.26,0.06,0.04,0.03,0.0,0.02
fluent-nhibernate.csv,0.13,0.06,0.5,0.3,0.0,0.19
h2database.csv,0.35,0.24,0.1,0.3,0.08,0.21
jaql.csv,0.46,0.28,0.27,0.24,0.0,0.17
raven-monitoring.csv,0.21,0.43,0.23,0.27,0.08,0.51
v8.csv,0.26,0.31,0.81,0.78,0.15,0.41
