,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.27,0.92,0.41,0.38,0.1,0.5,0.27
ivatamasks.csv,0.1,0.45,0.33,0.98,0.57,0.56,0.59
ivataopenportal.csv,0.09,0.16,0.24,0.47,0.98,0.48,0.38
kolmafia.csv,0.64,0.64,0.45,0.66,0.58,0.99,0.63
mb-unit.csv,0.27,0.6,0.99,0.24,0.64,0.48,0.61
nova.csv,0.93,0.6,0.48,0.37,0.42,0.54,0.52
olex2.csv,0.27,0.47,0.5,0.4,0.59,0.55,0.97
