,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.8,0.1,0.68,0.68,0.92,0.67,0.82
ivatamasks.csv,0.92,0.72,0.76,0.04,0.62,0.56,0.6
ivataopenportal.csv,0.99,0.96,0.94,0.73,0.03,0.84,0.92
kolmafia.csv,0.59,0.46,0.64,0.63,0.62,0.03,0.58
mb-unit.csv,0.77,0.6,0.05,0.94,0.7,0.76,0.53
nova.csv,0.08,0.61,0.71,0.69,0.72,0.71,0.69
olex2.csv,0.77,0.63,0.6,0.89,0.65,0.54,0.04
