,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.23,1.0,0.89,0.86,0.45,0.57,0.4
ivatamasks.csv,1.0,0.17,0.86,0.98,0.58,0.68,0.53
ivataopenportal.csv,0.2,0.06,0.86,0.66,0.97,0.54,0.4
kolmafia.csv,0.29,0.34,0.9,0.73,0.57,0.98,0.54
mb-unit.csv,0.75,0.22,0.99,0.69,0.58,0.51,0.59
nova.csv,1.0,0.21,0.86,0.91,0.52,0.55,0.47
olex2.csv,0.43,0.26,0.91,0.67,0.56,0.73,0.98
