,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.33,0.31,0.53,0.41,0.35,0.4,0.44,0.52,0.42,0.63,0.36,0.32,0.39,0.34,0.49,0.32
betoffice.csv,0.59,0.51,0.95,0.44,0.49,0.38,0.45,0.57,0.66,0.56,0.54,0.38,0.38,0.58,0.54,0.5
bnetd.csv,0.37,0.39,0.53,0.48,0.69,0.56,0.63,0.39,0.49,0.41,0.44,0.33,0.33,0.41,0.49,0.31
elvishrayrenderer.csv,0.43,0.45,0.0,0.38,0.45,0.5,0.88,0.75,0.99,0.54,0.8,0.38,0.44,0.54,0.52,0.46
emisview.csv,0.56,0.0,0.57,0.67,0.58,0.55,0.89,0.82,0.64,0.0,0.57,0.52,0.72,0.8,0.58,0.5
findbugs.csv,0.38,0.31,0.55,0.52,0.41,0.35,0.46,0.46,0.5,0.91,0.42,0.46,0.54,0.38,0.47,0.35
hazelcast.csv,0.28,0.3,0.43,0.33,0.33,0.28,0.36,0.36,0.34,0.39,0.41,0.3,0.28,0.31,0.4,0.3
jitterbit.csv,0.33,0.35,0.67,0.51,0.38,0.45,0.61,0.91,0.62,0.78,0.44,0.53,0.43,0.44,0.41,0.45
jppf-project.csv,0.4,0.68,0.64,0.91,0.44,0.49,0.49,0.44,0.45,0.82,0.67,0.4,0.44,0.7,0.51,0.61
megasquirtavr.csv,0.34,0.39,0.64,0.42,0.41,0.3,0.42,0.46,0.51,0.51,0.42,0.35,0.33,0.41,0.44,0.4
stajistics.csv,0.32,0.43,0.0,0.41,0.35,0.3,0.62,0.57,0.48,0.5,0.51,0.33,0.32,0.41,0.42,0.44
trackit.csv,0.64,0.0,0.64,0.64,0.62,0.69,0.54,0.94,0.59,0.94,0.51,0.67,0.86,0.88,0.75,0.75
tweetsharp.csv,0.52,0.8,0.57,0.58,0.56,0.46,0.53,0.95,0.6,0.82,0.42,0.93,0.51,0.5,0.58,0.89
wxlua.csv,0.92,0.46,0.62,0.47,0.94,0.93,0.76,0.5,0.76,0.55,0.4,0.74,0.93,0.46,0.95,0.5
x4x.csv,0.38,0.33,0.5,0.46,0.45,0.61,0.56,0.52,0.59,0.64,0.38,0.45,0.53,0.33,0.56,0.34
xharbour.csv,0.34,0.37,0.54,0.46,0.43,0.36,0.51,0.49,0.47,0.62,0.43,0.53,0.33,0.37,0.49,0.36
