,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.98,0.69,1.0,0.73,0.78,0.61,0.83,0.67,0.87,0.19,0.77,0.88,0.57,0.57,0.87,0.62
betoffice.csv,0.52,0.74,0.4,0.95,0.78,0.74,0.83,0.64,0.25,0.9,0.72,0.84,0.75,0.6,0.77,0.76
bnetd.csv,0.9,1.0,0.95,0.41,0.42,0.43,0.54,1.0,0.76,0.44,0.72,0.98,0.57,0.64,0.83,0.88
elvishrayrenderer.csv,0.45,0.75,0.0,0.86,0.65,0.7,0.12,0.02,0.21,0.89,0.33,0.51,0.46,0.43,0.63,0.68
emisview.csv,0.26,0.0,0.4,0.41,0.42,0.65,0.2,0.18,0.56,0.0,0.41,0.4,0.29,0.17,0.43,0.06
findbugs.csv,0.86,0.68,0.85,0.45,0.93,0.7,0.59,0.73,0.81,0.12,0.9,0.54,0.57,0.5,0.93,0.65
hazelcast.csv,0.86,0.67,0.6,0.77,0.95,0.96,0.68,0.62,0.87,0.58,0.59,0.85,0.64,0.71,0.8,0.59
jitterbit.csv,0.95,0.98,0.35,0.73,0.87,0.52,0.32,0.04,0.68,0.24,0.92,0.41,0.79,0.6,0.77,0.68
jppf-project.csv,0.62,0.52,0.8,0.27,0.69,0.35,0.66,0.84,0.53,0.56,0.46,0.75,0.61,0.43,0.53,0.5
megasquirtavr.csv,0.98,1.0,0.55,1.0,0.98,1.0,0.93,0.78,0.75,0.98,1.0,0.91,0.96,0.93,0.97,0.82
stajistics.csv,0.71,0.87,0.05,0.91,0.87,1.0,0.24,0.38,0.43,1.0,0.77,0.98,0.93,0.93,0.73,0.82
trackit.csv,0.4,0.0,0.7,0.59,0.45,0.35,0.61,0.22,0.6,0.17,0.56,0.03,0.29,0.17,0.3,0.06
tweetsharp.csv,0.55,0.06,0.8,0.68,0.56,0.61,0.73,0.13,0.6,0.55,0.95,0.12,0.71,0.79,0.6,0.18
wxlua.csv,0.24,0.74,0.65,0.77,0.2,0.17,0.41,0.0,0.48,0.92,0.92,0.36,0.29,0.9,0.2,0.62
x4x.csv,0.69,0.72,0.7,0.82,0.69,0.57,0.66,0.73,0.59,0.23,0.74,0.51,0.54,0.64,0.8,0.68
xharbour.csv,0.86,0.77,0.95,0.73,0.64,0.7,0.76,0.58,0.71,0.56,0.77,0.41,0.89,0.79,0.87,0.71
