,recall,precision,pf,pci_20,ifa,wins
amateur-scrolls.csv,0.475,0.645,0.2,0.61,1.0,9
fritzing.csv,0.705,0.5800000000000001,0.3,0.495,1.0,8
jlinalg.csv,0.71,0.42000000000000004,0.7,0.53,1.0,3
knowledge.csv,0.83,0.5,0.6000000000000001,0.435,2.0,4
massiv.csv,0.09,0.35,0.0,0.27,3.5,0
multitude.csv,0.8,0.45,0.62,0.42,1.5,2
playerstage.csv,0.49,0.54,0.29500000000000004,0.495,1.0,6
quarkplusplus.csv,0.53,0.585,0.255,0.5800000000000001,1.5,7
rtrt-on-gpu.csv,0.255,0.345,0.42000000000000004,0.85,2.0,1
superwaba.csv,0.45999999999999996,0.645,0.215,0.45999999999999996,2.0,5
