,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.71,0.05,0.62,0.13,0.2,0.21,0.12,0.2,0.28,0.15
fritzing.csv,0.5,0.29,0.31,0.28,0.4,0.44,0.02,0.13,0.47,0.22
jlinalg.csv,0.07,0.39,0.83,0.75,0.4,0.66,0.85,0.74,0.5,0.78
knowledge.csv,0.14,0.55,0.65,0.86,0.0,0.65,0.31,0.7,0.38,0.73
massiv.csv,0.0,0.08,0.17,0.0,0.0,0.03,0.0,0.26,0.0,0.0
multitude.csv,0.93,0.43,0.68,0.75,0.4,0.61,0.6,0.63,0.69,0.25
playerstage.csv,0.07,0.46,0.52,0.24,0.4,0.33,0.06,0.26,0.38,0.24
quarkplusplus.csv,0.21,0.4,0.45,0.18,0.0,0.21,0.27,0.37,0.28,0.24
rtrt-on-gpu.csv,0.14,0.77,0.29,0.6,0.8,0.38,0.08,0.13,0.47,0.46
superwaba.csv,0.14,0.21,0.31,0.17,0.0,0.39,0.25,0.76,0.16,0.22
