,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.59,0.41,0.6,0.58,0.63,0.03,0.12,0.62,0.47,0.44
fritzing.csv,0.77,0.62,0.7,0.6,0.84,0.02,0.17,0.32,0.61,0.54
jlinalg.csv,0.9,0.33,0.55,0.51,0.65,0.02,0.21,0.48,0.55,0.62
knowledge.csv,0.87,0.6,0.65,0.57,0.91,0.02,0.15,0.4,0.59,0.68
massiv.csv,0.28,0.44,0.47,0.0,0.0,0.33,0.0,0.55,0.0,0.03
multitude.csv,0.8,0.49,0.67,0.57,0.88,0.02,0.27,0.56,0.58,0.73
playerstage.csv,0.64,0.58,0.7,0.71,0.85,0.02,0.14,0.44,0.43,0.54
quarkplusplus.csv,0.94,0.49,0.58,0.48,0.64,0.03,0.08,0.49,0.65,0.52
rtrt-on-gpu.csv,0.3,0.39,0.26,0.33,0.48,0.0,0.6,0.07,0.19,0.37
superwaba.csv,0.4,0.69,0.61,0.33,0.68,0.02,0.17,0.51,0.51,0.51
